n,instance,origin,destruction,fragments,method,baseline_cost,cost,improvement_pct
50,1,raw,longest,8,greedy_pair,5.46506929397583,6.667341671418399,-21.99921561411561
50,1,raw,longest,8,random_mean,5.46506929397583,8.373434775974602,-53.21735783304112
50,1,raw,longest,8,random_best,5.46506929397583,7.166003919672221,-31.12375221978134
50,1,raw,longest,8,model_route,5.46506929397583,6.336146465968341,-15.938995923669307
50,1,raw,longest,8,model_learned,5.46506929397583,6.88787718815729,-26.034581039069852
50,1,raw,longest,12,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,12,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,12,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,longest,12,greedy_pair,5.46506929397583,6.944683365058154,-27.07402214850796
50,1,raw,longest,12,random_mean,5.46506929397583,9.408247233834118,-72.15238687284112
50,1,raw,longest,12,random_best,5.46506929397583,8.807733751367778,-61.16417336330175
50,1,raw,longest,12,model_route,5.46506929397583,6.336146465968341,-15.938995923669307
50,1,raw,longest,12,model_learned,5.46506929397583,6.877926758956164,-25.85250779048187
50,1,two_opt,longest,4,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,4,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,4,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,4,greedy_pair,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,4,random_mean,5.46506929397583,6.757094934117049,-23.641523476480426
50,1,two_opt,longest,4,random_best,5.46506929397583,5.993264667224139,-9.66493460257752
50,1,two_opt,longest,4,model_route,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,4,model_learned,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,8,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,8,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,8,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,8,greedy_pair,5.46506929397583,6.667341671418399,-21.99921561411561
50,1,two_opt,longest,8,random_mean,5.46506929397583,8.373434775974602,-53.21735783304112
50,1,two_opt,longest,8,random_best,5.46506929397583,7.166003919672221,-31.12375221978134
50,1,two_opt,longest,8,model_route,5.46506929397583,6.336146465968341,-15.938995923669307
50,1,two_opt,longest,8,model_learned,5.46506929397583,6.88787718815729,-26.034581039069852
50,1,two_opt,longest,12,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,12,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,12,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,longest,12,greedy_pair,5.46506929397583,6.944683365058154,-27.07402214850796
50,1,two_opt,longest,12,random_mean,5.46506929397583,9.408247233834118,-72.15238687284112
50,1,two_opt,longest,12,random_best,5.46506929397583,8.807733751367778,-61.16417336330175
50,1,two_opt,longest,12,model_route,5.46506929397583,6.336146465968341,-15.938995923669307
50,1,two_opt,longest,12,model_learned,5.46506929397583,6.877926758956164,-25.85250779048187
50,2,raw,longest,4,original_order,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,4,exact_fixed_orientation,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,4,exact_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,4,greedy_pair,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,4,random_mean,5.552214622497559,6.697860796935856,-20.634039790107224
