n,instance,origin,fragments,cut_samples,method,baseline_cost,cost,improvement_pct
50,5,raw,8,64,longest_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,64,best_combined_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,64,single_random_fixed_mean,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,64,best_random_fixed,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,64,best_random_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,64,longest_fixed,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,64,longest_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,64,best_combined_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,64,single_random_fixed_mean,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,64,best_random_fixed,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,64,best_random_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,64,longest_fixed,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,64,longest_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,64,best_combined_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,6,raw,4,64,single_random_fixed_mean,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,64,best_random_fixed,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,64,best_random_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,64,longest_fixed,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,64,longest_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,64,best_combined_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,64,single_random_fixed_mean,6.003438949584961,6.003438780084252,2.823393558316026e-06
