objective,n,instance,origin,remaining,oracle_completion,source_spread_pct,source_count,policy,regret,regret_pct,oracle_hit
reinforce,20,1,learned,8,1.8076791539788246,7.5991609338568225,8,learned,0.0,0.0,1
reinforce,20,1,learned,8,1.8076791539788246,7.5991609338568225,8,route,0.06297114491462708,3.483535492237287,0
reinforce,20,1,learned,8,1.8076791539788246,7.5991609338568225,8,fixed,0.0,0.0,1
reinforce,20,1,learned,8,1.8076791539788246,7.5991609338568225,8,shortest_component,0.0,0.0,1
reinforce,20,1,learned,8,1.8076791539788246,7.5991609338568225,8,min_entropy,0.0,0.0,1
reinforce,20,1,learned,8,1.8076791539788246,7.5991609338568225,8,max_margin,0.0,0.0,1
reinforce,20,1,learned,8,1.8076791539788246,7.5991609338568225,8,shortest_edge,0.0,0.0,1
reinforce,20,1,learned,8,1.8076791539788246,7.5991609338568225,8,random_expected,0.0501405643299222,2.7737535291901447,0.375
reinforce,20,1,learned,10,1.996240295469761,11.961063668083865,10,learned,0.23877157270908356,11.961063668083865,0
reinforce,20,1,learned,10,1.996240295469761,11.961063668083865,10,route,0.0,0.0,1
reinforce,20,1,learned,10,1.996240295469761,11.961063668083865,10,fixed,0.0,0.0,1
reinforce,20,1,learned,10,1.996240295469761,11.961063668083865,10,shortest_component,0.0,0.0,1
reinforce,20,1,learned,10,1.996240295469761,11.961063668083865,10,min_entropy,0.0,0.0,1
reinforce,20,1,learned,10,1.996240295469761,11.961063668083865,10,max_margin,0.0,0.0,1
reinforce,20,1,learned,10,1.996240295469761,11.961063668083865,10,shortest_edge,0.15367689728736877,7.698316562195489,0
reinforce,20,1,learned,10,1.996240295469761,11.961063668083865,10,random_expected,0.08364645168185225,4.190199540189541,0.5
reinforce,20,1,route,4,0.9365409910678864,0.0,4,learned,0.0,0.0,1
reinforce,20,1,route,4,0.9365409910678864,0.0,4,route,0.0,0.0,1
reinforce,20,1,route,4,0.9365409910678864,0.0,4,fixed,0.0,0.0,1
