instance,stage,method,cost
7,8,route,6.0149647779762745
7,8,source_once,6.0149647779762745
7,8,endpoint_once,6.0149647779762745
7,10,route,6.0149647779762745
7,10,source_once,6.0149647779762745
7,10,endpoint_once,6.0149647779762745
7,15,route,6.0149647779762745
7,15,source_once,6.0149647779762745
7,15,endpoint_once,6.0149647779762745
7,20,route,6.0149647779762745
7,20,source_once,6.0149647779762745
7,20,endpoint_once,6.0149647779762745
7,30,route,6.0149647779762745
7,30,source_once,6.0149647779762745
7,30,endpoint_once,6.0149647779762745
8,4,route,6.382774932309985
8,4,source_once,6.382774932309985
8,4,endpoint_once,6.382774932309985
8,6,route,6.382774932309985
8,6,source_once,6.382774932309985
8,6,endpoint_once,6.382774932309985
8,8,route,6.382774932309985
8,8,source_once,6.382774932309985
8,8,endpoint_once,6.382774932309985
8,10,route,6.382774932309985
8,10,source_once,6.382774932309985
8,10,endpoint_once,6.382774932309985
8,15,route,6.382774932309985
8,15,source_once,6.382774932309985
8,15,endpoint_once,6.382774932309985
8,20,route,6.382774932309985
8,20,source_once,6.24208421818912
8,20,endpoint_once,6.382774932309985
8,30,route,6.382774932309985
8,30,source_once,6.172042844817042
8,30,endpoint_once,6.382774932309985
9,4,route,5.499591335654259
9,4,source_once,5.499591335654259
9,4,endpoint_once,5.499591335654259
9,6,route,5.499591335654259
9,6,source_once,5.499591335654259
9,6,endpoint_once,5.499591335654259
9,8,route,5.499591335654259
9,8,source_once,5.499591335654259
9,8,endpoint_once,5.499591335654259
9,10,route,5.499591335654259
9,10,source_once,5.499591335654259
9,10,endpoint_once,5.499591335654259
9,15,route,5.499591335654259
9,15,source_once,5.497685335576534
9,15,endpoint_once,5.499591335654259
9,20,route,5.499591335654259
9,20,source_once,5.499591335654259
9,20,endpoint_once,5.499591335654259
9,30,route,5.499591335654259
9,30,source_once,5.497685335576534
9,30,endpoint_once,5.499591335654259
10,4,route,6.004923332482576
10,4,source_once,6.004923332482576
10,4,endpoint_once,6.004923332482576
10,6,route,6.004923332482576
10,6,source_once,6.004923332482576
10,6,endpoint_once,6.004923332482576
10,8,route,6.004923332482576
10,8,source_once,6.004923332482576
10,8,endpoint_once,6.004923332482576
10,10,route,6.004923332482576
10,10,source_once,6.004923332482576
10,10,endpoint_once,6.004923332482576
10,15,route,6.004923332482576
10,15,source_once,6.004923332482576
10,15,endpoint_once,6.004923332482576
10,20,route,6.004923332482576
10,20,source_once,5.764488812536001
10,20,endpoint_once,5.931088861078024
10,30,route,6.004923332482576
10,30,source_once,5.761465262621641
10,30,endpoint_once,6.004923332482576
11,4,route,5.243185495957732
11,4,source_once,5.243185495957732
11,4,endpoint_once,5.243185495957732
11,6,route,5.243185495957732
11,6,source_once,5.243185495957732
