n,instance,method,cost,source_deviations,endpoint_deviations
20,48,source_repeated,3.917038422077894,7,1
20,48,endpoint_once,3.9217847548425198,7,1
20,48,endpoint_repeated,3.917038422077894,7,1
20,49,route,4.075799569487572,7,0
20,49,source_once,4.075799569487572,7,0
20,49,source_repeated,4.075799569487572,7,0
20,49,endpoint_once,4.075799569487572,7,0
20,49,endpoint_repeated,4.075799569487572,7,0
20,50,route,3.307325791567564,5,0
20,50,source_once,3.307325791567564,5,0
20,50,source_repeated,3.307325791567564,5,0
20,50,endpoint_once,3.307325791567564,5,0
20,50,endpoint_repeated,3.307325791567564,5,0
20,51,route,4.23529402539134,3,0
20,51,source_once,4.23529402539134,3,0
20,51,source_repeated,4.23529402539134,3,0
20,51,endpoint_once,4.23529402539134,3,0
20,51,endpoint_repeated,4.23529402539134,3,0
20,52,route,6.2314894665032625,5,1
20,52,source_once,5.795776220038533,5,1
20,52,source_repeated,5.795776220038533,5,1
20,52,endpoint_once,6.000353457406163,5,1
20,52,endpoint_repeated,6.000353457406163,5,1
20,53,route,4.046246137470007,3,0
20,53,source_once,4.046246137470007,3,0
20,53,source_repeated,4.046246137470007,3,0
20,53,endpoint_once,4.046246137470007,3,0
20,53,endpoint_repeated,4.046246137470007,3,0
20,54,route,3.7643322944641113,5,0
20,54,source_once,3.7643322944641113,5,0
20,54,source_repeated,3.7643322944641113,5,0
20,54,endpoint_once,3.7643322944641113,5,0
20,54,endpoint_repeated,3.7643322944641113,5,0
20,55,route,4.283111896365881,4,0
20,55,source_once,4.283111896365881,4,0
20,55,source_repeated,4.283111896365881,4,0
20,55,endpoint_once,4.283111896365881,4,0
20,55,endpoint_repeated,4.283111896365881,4,0
20,56,route,3.559515221044421,6,1
20,56,source_once,3.5580917578190565,6,1
20,56,source_repeated,3.5580917578190565,6,1
20,56,endpoint_once,3.559515221044421,6,1
20,56,endpoint_repeated,3.5580917578190565,6,1
20,57,route,4.06171191483736,4,1
20,57,source_once,4.06171191483736,4,1
20,57,source_repeated,4.01335021853447,4,1
20,57,endpoint_once,4.06171191483736,4,1
20,57,endpoint_repeated,4.01335021853447,4,1
20,58,route,3.4020271971821785,7,0
20,58,source_once,3.4020271971821785,7,0
20,58,source_repeated,3.4020271971821785,7,0
20,58,endpoint_once,3.4020271971821785,7,0
20,58,endpoint_repeated,3.4020271971821785,7,0
20,59,route,3.3885018303990364,5,0
20,59,source_once,3.3885018303990364,5,0
20,59,source_repeated,3.3885018303990364,5,0
20,59,endpoint_once,3.3885018303990364,5,0
20,59,endpoint_repeated,3.3885018303990364,5,0
20,60,route,3.567180622369051,8,0
20,60,source_once,3.567180622369051,8,0
20,60,source_repeated,3.567180622369051,8,0
20,60,endpoint_once,3.567180622369051,8,0
20,60,endpoint_repeated,3.567180622369051,8,0
20,61,route,3.273337498307228,9,0
20,61,source_once,3.273337498307228,9,0
20,61,source_repeated,3.273337498307228,9,0
20,61,endpoint_once,3.273337498307228,9,0
20,61,endpoint_repeated,3.273337498307228,9,0
20,62,route,3.6648077964782715,5,0
20,62,source_once,3.6648077964782715,5,0
20,62,source_repeated,3.6648077964782715,5,0
20,62,endpoint_once,3.6648077964782715,5,0
20,62,endpoint_repeated,3.6648077964782715,5,0
20,63,route,3.586446635425091,4,0
20,63,source_once,3.586446635425091,4,0
20,63,source_repeated,3.586446635425091,4,0
20,63,endpoint_once,3.586446635425091,4,0
20,63,endpoint_repeated,3.586446635425091,4,0
50,0,route,6.218013963662088,6,1
50,0,source_once,6.218013963662088,6,1
50,0,source_repeated,6.218013963662088,6,1
50,0,endpoint_once,6.218013963662088,6,1
50,0,endpoint_repeated,6.217040351592004,6,1
50,1,route,5.769198086112738,6,0
50,1,source_once,5.769198086112738,6,0
50,1,source_repeated,5.769198086112738,6,0
50,1,endpoint_once,5.769198086112738,6,0
50,1,endpoint_repeated,5.769198086112738,6,0
50,2,route,5.896497569978237,8,0
50,2,source_once,5.896497569978237,8,0
50,2,source_repeated,5.896497569978237,8,0
50,2,endpoint_once,5.896497569978237,8,0
50,2,endpoint_repeated,5.896497569978237,8,0
50,3,route,6.036953939124942,8,0
50,3,source_once,6.036953939124942,8,0
50,3,source_repeated,6.036953939124942,8,0
50,3,endpoint_once,6.036953939124942,8,0
50,3,endpoint_repeated,6.036953939124942,8,0
50,4,route,5.863105313852429,4,0
50,4,source_once,5.863105313852429,4,0
50,4,source_repeated,5.863105313852429,4,0
50,4,endpoint_once,5.863105313852429,4,0
50,4,endpoint_repeated,5.863105313852429,4,0
50,5,route,5.75677365064621,3,0
50,5,source_once,5.75677365064621,3,0
50,5,source_repeated,5.75677365064621,3,0
50,5,endpoint_once,5.75677365064621,3,0
50,5,endpoint_repeated,5.75677365064621,3,0
50,6,route,5.96340949088335,5,0
50,6,source_once,5.96340949088335,5,0
50,6,source_repeated,5.96340949088335,5,0
50,6,endpoint_once,5.96340949088335,5,0
50,6,endpoint_repeated,5.96340949088335,5,0
50,7,route,6.0149647779762745,7,0
50,7,source_once,6.0149647779762745,7,0
50,7,source_repeated,6.0149647779762745,7,0
50,7,endpoint_once,6.0149647779762745,7,0
50,7,endpoint_repeated,6.0149647779762745,7,0
50,8,route,6.382774932309985,6,0
50,8,source_once,6.382774932309985,6,0
50,8,source_repeated,6.382774932309985,6,0
50,8,endpoint_once,6.382774932309985,6,0
50,8,endpoint_repeated,6.382774932309985,6,0
50,9,route,5.499591335654259,7,0
50,9,source_once,5.499591335654259,7,0
50,9,source_repeated,5.499591335654259,7,0
50,9,endpoint_once,5.499591335654259,7,0
50,9,endpoint_repeated,5.499591335654259,7,0
50,10,route,6.004923332482576,5,1
50,10,source_once,6.004923332482576,5,1
50,10,source_repeated,5.998185608536005,5,1
50,10,endpoint_once,6.004923332482576,5,1
50,10,endpoint_repeated,5.998185608536005,5,1
50,11,route,5.243185495957732,5,0
50,11,source_once,5.243185495957732,5,0
50,11,source_repeated,5.243185495957732,5,0
50,11,endpoint_once,5.243185495957732,5,0
50,11,endpoint_repeated,5.243185495957732,5,0
50,12,route,5.9166437070816755,6,0
50,12,source_once,5.9166437070816755,6,0
50,12,source_repeated,5.9166437070816755,6,0
50,12,endpoint_once,5.9166437070816755,6,0
50,12,endpoint_repeated,5.9166437070816755,6,0
50,13,route,6.649965059943497,1,1
50,13,source_once,6.2984298737719655,1,1
50,13,source_repeated,6.2984298737719655,1,1
50,13,endpoint_once,6.649965059943497,1,1
50,13,endpoint_repeated,6.330255565233529,1,1
50,14,route,5.3571185492910445,8,0
50,14,source_once,5.3571185492910445,8,0
50,14,source_repeated,5.3571185492910445,8,0
50,14,endpoint_once,5.3571185492910445,8,0
50,14,endpoint_repeated,5.3571185492910445,8,0
50,15,route,5.661749067250639,3,0
50,15,source_once,5.661749067250639,3,0
50,15,source_repeated,5.661749067250639,3,0
50,15,endpoint_once,5.661749067250639,3,0
50,15,endpoint_repeated,5.661749067250639,3,0
50,16,route,5.72804534714669,6,0
50,16,source_once,5.721105636097491,6,0
50,16,source_repeated,5.721105636097491,6,0
50,16,endpoint_once,5.72804534714669,6,0
50,16,endpoint_repeated,5.72804534714669,6,0
50,17,route,5.612938895821571,5,0
50,17,source_once,5.612938895821571,5,0
50,17,source_repeated,5.612938895821571,5,0
50,17,endpoint_once,5.612938895821571,5,0
50,17,endpoint_repeated,5.612938895821571,5,0
50,18,route,5.809258456341922,5,0
50,18,source_once,5.809258456341922,5,0
50,18,source_repeated,5.809258456341922,5,0
