n,instance,origin,fragments,method,baseline_cost,cost,improvement_pct
50,2,two_opt,12,exact_fixed_orientation,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,12,exact_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,12,greedy_pair,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,12,random_mean,5.536808013916016,9.844675722066313,-77.80417340321456
50,2,two_opt,12,random_best,5.536808013916016,9.158994955010712,-65.42012892610366
50,2,two_opt,12,model_route,5.536808013916016,5.775772434659302,-4.315923906747027
50,2,two_opt,12,model_learned,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,3,raw,4,original_order,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,exact_fixed_orientation,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,exact_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,greedy_pair,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,random_mean,5.57831335067749,6.876291036605835,-23.26828208334163
50,3,raw,4,random_best,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,model_route,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,model_learned,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,original_order,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,exact_fixed_orientation,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,exact_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,greedy_pair,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,random_mean,5.57831335067749,8.885531869251281,-59.28706959733854
50,3,raw,8,random_best,5.57831335067749,7.46250771638006,-33.77713382619018
50,3,raw,8,model_route,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,model_learned,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,12,original_order,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,12,exact_fixed_orientation,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,12,exact_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,12,greedy_pair,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,12,random_mean,5.57831335067749,10.806396164000034,-93.7215693106876
50,3,raw,12,random_best,5.57831335067749,9.700786410830915,-73.90178358576338
50,3,raw,12,model_route,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,12,model_learned,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,two_opt,4,original_order,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,exact_fixed_orientation,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,exact_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,greedy_pair,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,random_mean,5.566641807556152,6.864619806408882,-23.31707416652633
50,3,two_opt,4,random_best,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,model_route,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,4,model_learned,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,original_order,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,exact_fixed_orientation,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,exact_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,greedy_pair,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,random_mean,5.566641807556152,8.927525086794049,-60.375418347841915
50,3,two_opt,8,random_best,5.566641807556152,7.5942216804251075,-36.423753188443364
50,3,two_opt,8,model_route,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,8,model_learned,5.566641807556152,7.525182978250086,-35.18353144323769
50,3,two_opt,12,original_order,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,12,exact_fixed_orientation,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,12,exact_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,12,greedy_pair,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,12,random_mean,5.566641807556152,10.583560667932034,-90.12469337556303
50,3,two_opt,12,random_best,5.566641807556152,9.41569113638252,-69.14490750243124
50,3,two_opt,12,model_route,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,12,model_learned,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,4,raw,4,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
