instance,stage,method,cost
51,30,endpoint_once,5.688398156315088
52,20,route,5.7636953080073
52,20,source_once,5.7636953080073
52,20,endpoint_once,5.7636953080073
52,30,route,5.7636953080073
52,30,source_once,5.7636953080073
52,30,endpoint_once,5.7636953080073
53,20,route,5.8019939246587455
53,20,source_once,5.787575158756226
53,20,endpoint_once,5.8019939246587455
53,30,route,5.8019939246587455
53,30,source_once,5.787575158756226
53,30,endpoint_once,5.8019939246587455
54,20,route,6.043575416319072
54,20,source_once,6.043575416319072
54,20,endpoint_once,6.043575416319072
54,30,route,6.043575416319072
54,30,source_once,6.043575416319072
54,30,endpoint_once,6.043575416319072
55,20,route,5.944425887428224
55,20,source_once,5.888734801672399
55,20,endpoint_once,5.909272341988981
55,30,route,5.944425887428224
55,30,source_once,5.883344030939043
55,30,endpoint_once,5.944425887428224
56,20,route,6.000479305163026
56,20,source_once,5.7506488505750895
56,20,endpoint_once,5.935012178495526
56,30,route,6.000479305163026
56,30,source_once,5.7506488505750895
56,30,endpoint_once,5.998079126700759
57,20,route,6.076591711491346
57,20,source_once,6.076591711491346
57,20,endpoint_once,6.076591711491346
57,30,route,6.076591711491346
57,30,source_once,6.076591711491346
57,30,endpoint_once,6.076591711491346
58,20,route,5.782022589817643
58,20,source_once,5.778227115049958
58,20,endpoint_once,5.782022589817643
58,30,route,5.782022589817643
58,30,source_once,5.754018181934953
58,30,endpoint_once,5.754018181934953
59,20,route,5.698915733024478
59,20,source_once,5.698915733024478
59,20,endpoint_once,5.698915733024478
59,30,route,5.698915733024478
59,30,source_once,5.698915733024478
59,30,endpoint_once,5.698915733024478
60,20,route,5.5171114932745695
60,20,source_once,5.5171114932745695
60,20,endpoint_once,5.5171114932745695
60,30,route,5.5171114932745695
60,30,source_once,5.5171114932745695
60,30,endpoint_once,5.5171114932745695
61,20,route,6.226005341857672
61,20,source_once,6.05460200086236
61,20,endpoint_once,6.226005341857672
61,30,route,6.226005341857672
61,30,source_once,6.226005341857672
61,30,endpoint_once,6.226005341857672
62,20,route,5.895721973851323
62,20,source_once,5.895721973851323
62,20,endpoint_once,5.895721973851323
62,30,route,5.895721973851323
62,30,source_once,5.895721973851323
62,30,endpoint_once,5.895721973851323
63,20,route,5.859236846677959
63,20,source_once,5.82452308665961
63,20,endpoint_once,5.859236846677959
63,30,route,5.859236846677959
63,30,source_once,5.82452308665961
63,30,endpoint_once,5.859236846677959
